time,pos_x,pos_y,pos_z,vx,vy,speed,yaw,yaw_rate,acceleration,steer_deg,steer_norm,steer_sin,steer_cos,throttle_norm,brake_norm
799.032118564,9.81939461085058,15.224272304671501,0.0,0.008293168196364189,-4.212091402860983e-06,0.008293169266024773,1.9476576565315862,-6.985182233596687e-08,-0.006017235661191778,0.0,0.0,0.0,1.0,0.01,0.0
799.037118564,9.819394951971226,15.224271439975428,0.0,0.008263082025863264,-4.189074400768761e-06,0.008263083087718814,1.9476576568349464,-6.826423402961023e-08,-0.0054887554892595405,0.0,0.0,0.0,1.0,0.01,0.0
799.042118564,9.819395181725179,15.224270857102667,0.0,0.00823828065760016,-4.166352857236099e-06,0.008238281711132178,1.9476576571245312,-6.673594502709691e-08,-0.0049259264218969034,0.0,0.0,0.0,1.0,0.02,0.0
799.047118564,9.819395405815479,15.224270288559199,0.0,0.008213822778274527,-4.143724669176306e-06,0.008213823823499845,1.9476576574069675,-6.524405117058456e-08,-0.004826264802312158,0.0,0.0,0.0,1.0,0.02,0.0
799.052118564,9.81939561913662,15.224269747262174,0.0,0.008190018026158425,-4.121273991926437e-06,0.008190019063109056,1.947657657675811,-6.382136088238276e-08,-0.004760952078157986,0.0,0.0,0.0,1.0,0.02,0.0
799.057118564,9.819395832457758,15.224269205965149,0.0,0.008166213274042322,-4.098823314676568e-06,0.008166214302718265,1.9476576579446543,-6.239867059418097e-08,-0.004760952078158159,0.0,0.0,0.0,1.0,0.03,0.0
799.062118564,9.819396045778898,15.224268664668124,0.0,0.008142408521926221,-4.076372637426698e-06,0.008142409542327474,1.9476576582134977,-6.097598030597919e-08,-0.004253200591878593,0.0,0.0,0.0,1.0,0.03,0.0
799.067118564,9.81939615768097,15.224268379996163,0.0,0.008123681285161177,-4.05416838966402e-06,0.00812368229679948,1.947657658471447,-5.9598950979532723e-08,-0.0028505969741398143,0.0,0.0,0.0,1.0,0.04,0.0
799.072118564,9.81939609084389,15.224268547595626,0.0,0.008113902570571232,-4.032398444818865e-06,0.008113903572586076,1.9476576587101961,-5.830239371482385e-08,0.020404481933831813,0.0,0.0,0.0,1.0,0.04,0.0
799.077118564,9.819390869215027,15.2242817574219,0.0,0.008327726143284826,-4.0181429082348915e-06,0.008327727116137797,1.9476576587817487,-5.741809109455439e-08,0.09072828509449106,0.0,0.0,0.0,1.0,0.04,0.0
799.082118564,9.819374590352629,15.224322943343774,0.0,0.009021185521750555,-4.020006076448467e-06,0.009021186423530987,1.947657658494658,-5.741809109455439e-08,0.11358370410550697,0.0,0.0,0.0,1.0,0.06,0.0
799.087118564,9.819364073345245,15.224349551037847,0.0,0.009463563304297543,-4.013530061364164e-06,0.009463564157192867,1.9476576583893461,-5.698648767060234e-08,-0.04863025166335529,0.0,0.0,0.0,1.0,0.06,0.0
799.092118564,9.819385019567925,15.22429655274841,0.0,0.008534882981730333,-3.961517037449124e-06,0.008534883906897434,1.9476576592766577,-5.4198067250808016e-08,-0.12516729651582714,0.0,0.0,0.0,1.0,0.06,0.0
799.097118564,9.819392085894025,15.22427867224309,0.0,0.008211890247763096,-3.929663034969671e-06,0.008211891192034595,1.947657659732394,-5.2456462240548e-08,0.03617074612594813,0.0,0.0,0.0,1.0,0.07,0.0
799.102118564,9.819376059994694,15.224319217806217,0.0,0.00889659049323651,-3.931347947197042e-06,0.008896591368156915,1.9476576594701114,-5.2456462240548e-08,0.121065150961467,0.0,0.0,0.0,1.0,0.07,0.0
799.107118564,9.819363671096173,15.224350561406858,0.0,0.009422541882269483,-3.927835417177097e-06,0.009422542701649265,1.9476576593133146,-5.220915554182478e-08,0.00900535143027962,0.0,0.0,0.0,1.0,0.1,0.0
799.112118564,9.819373318554524,15.22432615090137,0.0,0.008986644034943772,-3.892831914757769e-06,0.008986644882459711,1.9476576597956479,-5.046343326615187e-08,-0.08717956383791081,0.0,0.0,0.0,1.0,0.1,0.0
799.117118564,9.819382966012874,15.224301740395882,0.0,0.008550746187618061,-3.857828412338441e-06,0.008550747063270157,1.9476576602779812,-4.8717710990478956e-08,-0.08717956383791081,0.0,0.0,0.0,1.0,0.1,0.0
799.122118564,9.819392613471225,15.224277329890393,0.0,0.00811484834029235,-3.8228249099191134e-06,0.008114849244080603,1.9476576607603147,-4.697198871480604e-08,-0.07359223244105972,0.0,0.0,0.0,1.0,0.12,0.0
799.1271185639999,9.819399142298964,15.224260809853444,0.0,0.00781482381866371,-3.7923987885211427e-06,0.00781482473885956,1.947657661147436,-4.5466130710211987e-08,-0.03240419745327797,0.0,0.0,0.0,1.0,0.12,0.0
799.1321185639999,9.819399336078524,15.224260318165031,0.0,0.007790806356769251,-3.7712709563238392e-06,0.007790807269547824,1.9476576613411485,-4.444752236890626e-08,-0.004646741755719337,0.0,0.0,0.0,1.0,0.14,0.0
799.1371185639999,9.819399503748,15.224259892536612,0.0,0.0077683564160703125,-3.7502341069315194e-06,0.007768357321302367,1.947657661530725,-4.344740543674825e-08,-0.004193014099122556,0.0,0.0,0.0,1.0,0.15,0.0
799.1421185639999,9.81939962195048,15.224259592062513,0.0,0.0077488762311159155,-3.7293696295036294e-06,0.007748877128556598,1.9476576617124661,-4.248232150363236e-08,-0.0039809801202985926,0.0,0.0,0.0,1.0,0.15,0.0
799.1471185639999,9.819399760424153,15.22425924029342,0.0,0.0077285466303312865,-3.708526551562783e-06,0.007728547520099381,1.9476576618918091,-4.1531013608638996e-08,-0.004228752922465391,0.0,0.0,0.0,1.0,0.17,0.0
799.1521185639999,9.81939993775728,15.22425879019289,0.0,0.007706588717008733,-3.6877244959949824e-06,0.007706589599331944,1.9476576620665553,-4.060611409314536e-08,-0.004441126377583825,0.0,0.0,0.0,1.0,0.17,0.0
799.1571185639999,9.819400126161577,15.224258312080224,0.0,0.007684135381362065,-3.6669597457583386e-06,0.0076841362563235425,1.9476576622388635,-3.969472542421218e-08,-0.00458470447081737,0.0,0.0,0.0,1.0,0.18,0.0
799.1621185639999,9.819400335580001,15.224257780797853,0.0,0.007660741686866201,-3.6462658046002683e-06,0.00766074255462377,1.9476576624065436,-3.880898163138738e-08,0.01913054657044994,0.0,0.0,0.0,1.0,0.19,0.0
799.1671185639999,9.819395076685055,15.2242710842189,0.0,0.007875440880637212,-3.6332184093981567e-06,0.007875441722028042,1.9476576624482946,-3.823406588469582e-08,0.0869781180969779,0.0,0.0,0.0,1.0,0.19,0.0
799.1721185639999,9.819379703453569,15.224309976672034,0.0,0.008530522956013533,-3.6343142671378883e-06,0.00853052373559355,1.9476576622571242,-3.823406588469582e-08,0.10706850411189728,0.0,0.0,0.0,1.0,0.2,0.0
