time,pos_x,pos_y,yaw,speed,acceleration,steer_deg,session_id
1426.012010764,-7.074545064214033,18.787870064143174,0.7774516043214952,2.2709703377073646e-09,-2.9793388155942854e-09,0.0,0
1426.0170107640001,-7.074545064213628,18.787870064143583,0.7774516043214952,2.2560736436293932e-09,-2.9793388155943268e-09,0.0,0
1426.0220107640002,-7.074545064213223,18.787870064143988,0.7774516043214952,2.2411769495514214e-09,-2.612043203162999e-09,0.0,0
1426.0270107640004,-7.074545064212957,18.787870064144254,0.7774516043214952,2.2299532115977632e-09,-1.5685595216683577e-09,0.0,0
1426.0320107640005,-7.074545064212947,18.78787006414427,0.7774516043214952,2.2254913543347378e-09,-9.286963677979783e-10,0.0,0
1426.0370107640006,-7.074545064212919,18.787870064144304,0.7774516043214952,2.2206662479197834e-09,-1.032704476528158e-09,0.0,0
1426.0420107640007,-7.074545064212856,18.78787006414437,0.7774516043214952,2.2151643095694562e-09,-1.0785537840755963e-09,0.0,0
1426.0470107640008,-7.0745450642128,18.787870064144432,0.7774516043214952,2.2098807100790275e-09,-1.0164528361440417e-09,0.0,0
1426.052010764001,-7.074545064212756,18.787870064144478,0.7774516043214952,2.204999781208016e-09,5.5998794328103855e-09,0.0,0
1426.057010764001,-7.074545064215636,18.787870064141625,0.7774516043214952,2.2658795044071313e-09,2.4958203292067177e-08,0.0,0
1426.0620107640011,-7.074545064224201,18.787870064133138,0.7774516043214952,2.4545818141286876e-09,3.2606333161007495e-08,0.0,0
1426.0670107640012,-7.074545064230481,18.787870064126917,0.7774516043214952,2.5919428360172063e-09,-1.0805666074738182e-08,0.0,0
1426.0720107640013,-7.074545064219736,18.787870064137575,0.7774516043214952,2.3465251533813058e-09,-3.629981380529509e-08,0.0,0
1426.0770107640014,-7.074545064214671,18.7878700641426,0.7774516043214952,2.2289446979642554e-09,6.872190748025377e-09,0.0,0
1426.0820107640016,-7.074545064223109,18.787870064134243,0.7774516043214952,2.4152470608615595e-09,3.17734346545145e-08,0.0,0
1426.0870107640017,-7.074545064229114,18.787870064128295,0.7774516043214952,2.5466790445094003e-09,-9.642360685710422e-09,0.0,0
1426.0920107640018,-7.074545064219195,18.787870064138133,0.7774516043214952,2.3188234540044553e-09,-4.002327523536895e-08,0.0,0
1426.0970107640019,-7.07454506421174,18.787870064145526,0.7774516043214952,2.146446292155711e-09,-1.801270741491622e-08,0.0,0
1426.102010764002,-7.074545064211597,18.787870064145675,0.7774516043214952,2.138696379855293e-09,-1.549982460083546e-09,0.0,0
1426.107010764002,-7.074545064211454,18.78787006414582,0.7774516043214952,2.1309464675548754e-09,-1.549982460083546e-09,0.0,0
1426.1120107640022,-7.074545064211311,18.787870064145967,0.7774516043214952,2.1231965552544576e-09,-1.5532386674056832e-09,0.0,0
1426.1170107640023,-7.074545064211163,18.78787006414612,0.7774516043214952,2.1154140808808185e-09,-1.5638174598280973e-09,0.0,0
1426.1220107640024,-7.074545064211005,18.78787006414628,0.7774516043214952,2.1075583806561767e-09,-1.512709042584932e-09,0.0,0
1426.1270107640025,-7.074545064210868,18.787870064146418,0.7774516043214952,2.1002869904549692e-09,-1.3396860627127857e-09,0.0,0
1426.1320107640026,-7.074545064210774,18.787870064146514,0.7774516043214952,2.094161520029049e-09,5.227035284552237e-09,0.0,0
1426.1370107640028,-7.074545064213541,18.787870064143775,0.7774516043214952,2.1525573433004916e-09,2.3777626492388964e-08,0.0,0
1426.1420107640029,-7.074545064221673,18.78787006413572,0.7774516043214952,2.3319377849529385e-09,0.06093819429598563,0.0,0
1426.147010764003,-7.074527663851662,18.787887190134096,0.7774516043214952,0.0006093840955171997,0.5052447747681152,0.0,0
1426.152010764003,-7.074400795856032,18.788012057656488,0.7774516043214952,0.005052450079618938,0.8886131968203478,0.0,0
1426.1570107640032,-7.074273927860403,18.78813692517888,0.7774516043214952,0.009495516063720677,0.8886131968203478,0.0,0
1426.1620107640033,-7.0741470598647735,18.788261792701274,0.7774516043214952,0.013938582047822416,0.8964224918546704,0.0,0
1426.1670107640034,-7.073991524749592,18.788414875315834,0.7774516043214952,0.01845974098226738,0.9186339108042616,0.0,0
1426.1720107640035,-7.073783120917545,18.78861999300551,0.7774516043214952,0.023124921155865032,0.9097819419331371,0.0,0
1426.1770107640036,-7.073564127607717,18.788835533196526,0.7774516043214952,0.027557560401598753,0.8431324738076301,0.0,0
1426.1820107640037,-7.073325372857731,18.78907052322639,0.7774516043214952,0.031556245893941334,0.6630236244844625,0.0,0
1426.1870107640038,-7.0731275534927995,18.789265223346376,0.7774516043214952,0.03418779664644338,0.2734564041444662,0.0,0
1426.192010764004,-7.073005444774138,18.789385406636704,0.7774516043214952,0.034290809935385996,0.10707068554933474,0.0,0
1426.197010764004,-7.072842441077459,18.789545840067014,0.7774516043214952,0.035258503501936725,0.8042731617962144,0.0,0
1426.2020107640042,-7.072390591058128,18.789990565248633,0.7774516043214952,0.04233354155334814,1.2493282645112902,0.0,0
1426.2070107640043,-7.0719987035859235,18.790376273381394,0.7774516043214952,0.04775178614704963,0.7881894258205874,0.0,0
1426.2120107640044,-7.071713748596375,18.790656735158628,0.7774516043214952,0.050215435811554014,0.4809814789799277,0.0,0
1426.2170107640045,-7.071426031840596,18.79093991515416,0.7774516043214952,0.052561600936848904,0.44667385447058616,0.0,0
1426.2220107640046,-7.071133011990811,18.79122831462372,0.7774516043214952,0.054682174356259876,0.41337766286705446,0.0,0
1426.2270107640047,-7.070838581789574,18.79151810220611,0.7774516043214952,0.05669537756551945,0.3818243044240166,0.0,0
